,Sleep Stage,AUC,Area
0,Wakefulness,0.8219081552499294,EMG
1,NREM,0.7863838036578913,EMG
2,REM,0.7429546569724214,EMG
0,Wakefulness,0.8293631067570822,EMG
1,NREM,0.8000577486189129,EMG
2,REM,0.725223409379372,EMG
0,Wakefulness,0.8618088047671635,EMG
1,NREM,0.8387317380788769,EMG
2,REM,0.738827229186854,EMG
0,Wakefulness,0.8371890646329854,EMG
1,NREM,0.8180609863737426,EMG
2,REM,0.7375462423702066,EMG
0,Wakefulness,0.8736005626508302,EMG
1,NREM,0.8465551947607757,EMG
2,REM,0.7557755775577557,EMG
0,Wakefulness,0.8764069155210867,EMG
1,NREM,0.8416139348131769,EMG
2,REM,0.782682334306306,EMG
0,Wakefulness,0.8818908943232577,EMG
1,NREM,0.8508173810422609,EMG
2,REM,0.7717251688543393,EMG
0,Wakefulness,0.8969224969609725,EMG
1,NREM,0.8738491903791705,EMG
2,REM,0.7548756555250768,EMG
0,Wakefulness,0.8866234177709373,EMG
1,NREM,0.8544591364299734,EMG
2,REM,0.767654862064267,EMG
0,Wakefulness,0.8815070175365982,EMG
1,NREM,0.8259210657277206,EMG
2,REM,0.7930506987354163,EMG
0,Wakefulness,0.6997324017671602,EMG
1,NREM,0.6865597237382648,EMG
2,REM,0.6731130274066304,EMG
0,Wakefulness,0.8650542409297174,EMG
1,NREM,0.8352370492045365,EMG
2,REM,0.7712509568178131,EMG
0,Wakefulness,0.7559431711725109,EMG
1,NREM,0.7504636450648609,EMG
2,REM,0.7271436448379077,EMG
0,Wakefulness,0.8535702465378485,EMG
1,NREM,0.8136047841907901,EMG
2,REM,0.7672978717187718,EMG
0,Wakefulness,0.8647342234818753,EMG
1,NREM,0.8312392891217089,EMG
2,REM,0.7800420845775344,EMG
