,Data,Sleep_Stage,Cata,Sample_number,Area
0,0.9207370343896434,Wakefulness,Sensitivity,5,EMG
0,0.5330202354032585,Nrem,Sensitivity,5,EMG
0,0.056589147286821705,Rem,Sensitivity,5,EMG
0,0.5586321682554093,Wakefulness,Specificity,5,EMG
0,0.8992887765469729,Nrem,Specificity,5,EMG
0,0.9878771355870593,Rem,Specificity,5,EMG
0,0.891028469104404,Wakefulness,Precision,5,Cerebral EEG
0,0.7876679747889166,Nrem,Precision,5,Cerebral EEG
0,0.8955091151622944,Rem,Precision,5,Cerebral EEG
0,0.9084510768905117,Wakefulness,Recall,5,Cerebral EEG
0,0.7696374622356495,Nrem,Recall,5,Cerebral EEG
0,0.7764070932922128,Rem,Recall,5,Cerebral EEG
0,0.9084510768905117,Wakefulness,Sensitivity,5,Cerebral EEG
0,0.7696374622356495,Nrem,Sensitivity,5,Cerebral EEG
0,0.7764070932922128,Rem,Sensitivity,5,Cerebral EEG
0,0.7879935373119257,Wakefulness,Specificity,5,Cerebral EEG
0,0.9115826483113796,Nrem,Specificity,5,Cerebral EEG
0,0.9957277387921317,Rem,Specificity,5,Cerebral EEG
0,0.8128217755293907,Wakefulness,Precision,5,Cerebellar EEG
0,0.7795586137450701,Nrem,Precision,5,Cerebellar EEG
0,0.3557978196233895,Rem,Precision,5,Cerebellar EEG
0,0.960787426575647,Wakefulness,Recall,5,Cerebellar EEG
0,0.5397397164768766,Nrem,Recall,5,Cerebellar EEG
0,0.13839629915188897,Rem,Recall,5,Cerebellar EEG
0,0.960787426575647,Wakefulness,Sensitivity,5,Cerebellar EEG
0,0.5397397164768766,Nrem,Sensitivity,5,Cerebellar EEG
0,0.13839629915188897,Rem,Sensitivity,5,Cerebellar EEG
0,0.5778047056447542,Wakefulness,Specificity,5,Cerebellar EEG
0,0.9349559275032188,Nrem,Specificity,5,Cerebellar EEG
0,0.9881831072973858,Rem,Specificity,5,Cerebellar EEG
0,0.7686058700209644,Wakefulness,Precision,5,EMG
0,0.6853066288550159,Nrem,Precision,5,EMG
0,0.1946564885496183,Rem,Precision,5,EMG
0,0.9312589299888872,Wakefulness,Recall,5,EMG
0,0.44927957239135485,Nrem,Recall,5,EMG
0,0.03932151117964534,Rem,Recall,5,EMG
0,0.9312589299888872,Wakefulness,Sensitivity,5,EMG
0,0.44927957239135485,Nrem,Sensitivity,5,EMG
0,0.03932151117964534,Rem,Sensitivity,5,EMG
0,0.4650106028476219,Wakefulness,Specificity,5,EMG
0,0.912077844904427,Nrem,Specificity,5,EMG
0,0.9923281096607642,Rem,Specificity,5,EMG
0,0.9212423586172866,Wakefulness,Precision,5,Cerebral EEG
0,0.7803660565723793,Nrem,Precision,5,Cerebral EEG
0,0.7560659980588806,Rem,Precision,5,Cerebral EEG
0,0.8878966419192053,Wakefulness,Recall,5,Cerebral EEG
0,0.8204560032654965,Nrem,Recall,5,Cerebral EEG
0,0.8981552651806303,Rem,Recall,5,Cerebral EEG
0,0.8878966419192053,Wakefulness,Sensitivity,5,Cerebral EEG
0,0.8204560032654965,Nrem,Sensitivity,5,Cerebral EEG
0,0.8981552651806303,Rem,Sensitivity,5,Cerebral EEG
0,0.8545390106830034,Wakefulness,Specificity,5,Cerebral EEG
0,0.9021037798818323,Nrem,Specificity,5,Cerebral EEG
0,0.986290410560384,Rem,Specificity,5,Cerebral EEG
0,0.7841662305948021,Wakefulness,Precision,5,Cerebellar EEG
0,0.7313432835820896,Nrem,Precision,5,Cerebellar EEG
0,0.2916666666666667,Rem,Precision,5,Cerebellar EEG
0,0.9502232555681788,Wakefulness,Recall,5,Cerebellar EEG
0,0.48002798997026064,Nrem,Recall,5,Cerebellar EEG
0,0.053804765564950036,Rem,Recall,5,Cerebellar EEG
0,0.9502232555681788,Wakefulness,Sensitivity,5,Cerebellar EEG
0,0.48002798997026064,Nrem,Sensitivity,5,Cerebellar EEG
0,0.053804765564950036,Rem,Sensitivity,5,Cerebellar EEG
0,0.4988101868259835,Wakefulness,Specificity,5,Cerebellar EEG
0,0.9252428864552175,Nrem,Specificity,5,Cerebellar EEG
0,0.9938179570166188,Rem,Specificity,5,Cerebellar EEG
0,0.7555302262749072,Wakefulness,Precision,5,EMG
0,0.6877842083505581,Nrem,Precision,5,EMG
0,0.1478102189781022,Rem,Precision,5,EMG
0,0.945705302650004,Wakefulness,Recall,5,EMG
0,0.3880692751763951,Nrem,Recall,5,EMG
0,0.03112990007686395,Rem,Recall,5,EMG
0,0.945705302650004,Wakefulness,Sensitivity,5,EMG
