,Sleep Stage,AUC,Area
0,Wakefulness,0.946844328482854,Cerebral EEG
1,NREM,0.9461560229463846,Cerebral EEG
2,REM,0.9937570899918208,Cerebral EEG
0,Wakefulness,0.959735894060896,Cerebral EEG
1,NREM,0.9537883482797518,Cerebral EEG
2,REM,0.9953657817274327,Cerebral EEG
0,Wakefulness,0.9594593563912245,Cerebral EEG
1,NREM,0.9554737929017874,Cerebral EEG
2,REM,0.9956416763815328,Cerebral EEG
0,Wakefulness,0.9449544719882326,Cerebral EEG
1,NREM,0.9421823023533163,Cerebral EEG
2,REM,0.9936087496484487,Cerebral EEG
0,Wakefulness,0.9518907702760178,Cerebral EEG
1,NREM,0.9485939236123395,Cerebral EEG
2,REM,0.9951857227141988,Cerebral EEG
0,Wakefulness,0.9611568177737623,Cerebral EEG
1,NREM,0.9573052155520907,Cerebral EEG
2,REM,0.9962846179626581,Cerebral EEG
0,Wakefulness,0.9571664165353422,Cerebral EEG
1,NREM,0.9534618570860077,Cerebral EEG
2,REM,0.9961579247054996,Cerebral EEG
0,Wakefulness,0.9332586455491763,Cerebral EEG
1,NREM,0.9286287089013633,Cerebral EEG
2,REM,0.9950706166127044,Cerebral EEG
0,Wakefulness,0.9613354048070841,Cerebral EEG
1,NREM,0.9582107670467198,Cerebral EEG
2,REM,0.9953971766646694,Cerebral EEG
0,Wakefulness,0.9457512708852163,Cerebral EEG
1,NREM,0.9428879141324199,Cerebral EEG
2,REM,0.9938934086548241,Cerebral EEG
0,Wakefulness,0.9618185041543118,Cerebral EEG
1,NREM,0.9617260099085168,Cerebral EEG
2,REM,0.9950692229222949,Cerebral EEG
0,Wakefulness,0.9455715570860878,Cerebral EEG
1,NREM,0.9422655622451449,Cerebral EEG
2,REM,0.992861392716346,Cerebral EEG
0,Wakefulness,0.9591099763838841,Cerebral EEG
1,NREM,0.9563628433317047,Cerebral EEG
2,REM,0.9970870079145805,Cerebral EEG
0,Wakefulness,0.9371260169713936,Cerebral EEG
1,NREM,0.9336161363548163,Cerebral EEG
2,REM,0.9943262603162745,Cerebral EEG
0,Wakefulness,0.9534147791819735,Cerebral EEG
1,NREM,0.9492982789780354,Cerebral EEG
2,REM,0.9942263013263082,Cerebral EEG
0,Wakefulness,0.9541956801611915,Cerebral EEG
1,NREM,0.9486670428892264,Cerebral EEG
2,REM,0.9956359642991853,Cerebral EEG
0,Wakefulness,0.9403739101153215,Cerebral EEG
1,NREM,0.934843576972274,Cerebral EEG
2,REM,0.9948183997226805,Cerebral EEG
0,Wakefulness,0.9557733665357786,Cerebral EEG
1,NREM,0.9530365530566663,Cerebral EEG
2,REM,0.9959090241595446,Cerebral EEG
0,Wakefulness,0.9636574491239633,Cerebral EEG
1,NREM,0.9610509128166195,Cerebral EEG
2,REM,0.9952447976209621,Cerebral EEG
0,Wakefulness,0.9561092174669208,Cerebral EEG
1,NREM,0.9538988523672516,Cerebral EEG
2,REM,0.9946323945449058,Cerebral EEG
0,Wakefulness,0.8959393985230186,Cerebellar EEG
